,count,mean,std,min,25%,50%,75%,max
Age,200.0,21.17,2.002787002877358,18.0,19.0,21.0,23.0,24.0
Height_cm,200.0,180.805,11.529598135487166,160.0,171.0,182.5,191.0,199.0
Weight_kg,200.0,77.475,12.440789412494295,55.0,67.0,77.5,89.0,99.0
Training_Intensity,200.0,5.105,2.499040016691435,1.0,3.0,5.0,7.0,9.0
Training_Hours_Per_Week,200.0,11.315,4.438952182938228,5.0,7.0,11.0,15.0,19.0
Recovery_Days_Per_Week,200.0,1.985,0.8112122574475596,1.0,1.0,2.0,3.0,3.0
Match_Count_Per_Week,200.0,2.385,1.1547476828533914,1.0,1.0,2.0,3.0,4.0
Rest_Between_Events_Days,200.0,1.975,0.8171374228605591,1.0,1.0,2.0,3.0,3.0
Fatigue_Score,200.0,4.92,2.5605432840605795,1.0,3.0,5.0,7.0,9.0
Performance_Score,200.0,74.465,14.636938712530426,50.0,62.0,74.0,86.25,99.0
Team_Contribution_Score,200.0,72.63,14.432762144356772,50.0,60.75,72.0,85.0,99.0
Load_Balance_Score,200.0,93.395,8.66048468475491,62.0,89.0,98.0,100.0,100.0
ACL_Risk_Score,200.0,46.47,18.943955957948262,2.0,33.0,45.0,60.0,100.0
Injury_Indicator,200.0,0.07,0.25578728599833095,0.0,0.0,0.0,0.0,1.0
